event_id,timestamp,attack_technique,attack_category,target_system,success_status
169,2023-11-04 19:53:14,T1486,Impact,Cloud Infrastructure,False
170,2023-09-21 21:20:59,T1071,Command and Control,Database Server,False
171,2023-04-11 14:16:01,T1133,Persistence,Cloud Infrastructure,False
172,2023-10-29 17:42:55,T1486,Impact,Active Directory,False
173,2023-03-18 06:51:58,T1021,Lateral Movement,Workstation,True
174,2023-03-19 11:07:01,T1133,Persistence,Active Directory,False
175,2023-12-18 19:06:28,T1566,Phishing,Database Server,False
176,2023-12-16 02:06:37,T1059,Execution,Cloud Infrastructure,False
177,2023-05-26 08:41:04,T1486,Impact,Active Directory,True
178,2023-09-17 04:54:20,T1486,Impact,Workstation,False
179,2023-06-09 07:06:27,T1566,Phishing,Cloud Infrastructure,True
180,2023-09-21 03:10:38,T1021,Lateral Movement,Cloud Infrastructure,False
181,2023-01-16 06:13:45,T1133,Persistence,Active Directory,False
182,2023-05-08 04:17:25,T1021,Lateral Movement,Cloud Infrastructure,True
183,2023-10-10 00:13:09,T1190,Initial Access,Cloud Infrastructure,False
184,2023-12-13 09:54:46,T1566,Phishing,Database Server,False
185,2023-02-14 09:38:37,T1486,Impact,Cloud Infrastructure,True
186,2023-05-23 01:33:13,T1486,Impact,Active Directory,False
187,2023-08-24 12:41:07,T1133,Persistence,Web Server,False
188,2023-11-16 04:30:38,T1566,Phishing,Database Server,False
189,2023-09-25 12:37:22,T1190,Initial Access,Workstation,True
190,2023-05-19 03:17:26,T1486,Impact,Database Server,False
191,2023-12-08 03:38:32,T1021,Lateral Movement,Database Server,True
192,2023-08-12 13:53:29,T1059,Execution,Cloud Infrastructure,False
193,2023-08-08 23:31:33,T1486,Impact,Web Server,True
194,2023-06-19 05:37:38,T1190,Initial Access,Active Directory,True
195,2023-09-02 12:57:14,T1486,Impact,Database Server,True
196,2023-01-01 12:36:46,T1566,Phishing,Web Server,False
197,2023-07-20 03:03:15,T1486,Impact,Web Server,False
198,2023-08-06 19:57:01,T1133,Persistence,Database Server,False
199,2023-03-07 18:25:19,T1021,Lateral Movement,Workstation,True
200,2023-02-27 23:53:08,T1486,Impact,Workstation,True
201,2023-01-05 10:47:37,T1133,Persistence,Database Server,False
202,2023-03-12 09:23:05,T1059,Execution,Cloud Infrastructure,True
203,2023-08-15 14:12:17,T1190,Initial Access,Database Server,False
204,2023-04-08 05:31:42,T1190,Initial Access,Cloud Infrastructure,True
205,2023-02-26 20:22:25,T1566,Phishing,Workstation,False
206,2023-03-06 07:56:30,T1190,Initial Access,Workstation,False
207,2023-11-30 02:56:09,T1059,Execution,Workstation,True
208,2023-04-06 22:27:27,T1021,Lateral Movement,Cloud Infrastructure,False
209,2023-11-05 22:21:38,T1133,Persistence,Workstation,False
210,2023-08-27 19:30:57,T1133,Persistence,Active Directory,True
211,2023-05-31 04:02:14,T1059,Execution,Active Directory,False
212,2023-05-23 19:53:11,T1071,Command and Control,Active Directory,False
213,2023-01-19 09:43:03,T1021,Lateral Movement,Active Directory,True
214,2023-12-03 23:40:29,T1071,Command and Control,Cloud Infrastructure,True
215,2023-08-10 04:33:17,T1071,Command and Control,Database Server,True
216,2023-11-19 07:02:45,T1021,Lateral Movement,Workstation,False
217,2023-11-14 13:19:43,T1566,Phishing,Cloud Infrastructure,True
218,2023-11-05 06:20:35,T1486,Impact,Database Server,True
219,2023-02-04 16:44:18,T1190,Initial Access,Active Directory,True
220,2023-04-10 18:38:43,T1566,Phishing,Web Server,True
221,2023-03-24 17:33:41,T1059,Execution,Web Server,True
222,2023-10-25 13:50:46,T1059,Execution,Database Server,False
223,2023-11-16 16:45:11,T1133,Persistence,Database Server,True
224,2023-04-02 23:25:19,T1059,Execution,Active Directory,False
225,2023-06-22 22:48:06,T1486,Impact,Web Server,False
226,2023-05-04 19:21:58,T1021,Lateral Movement,Active Directory,True
227,2023-12-10 12:24:56,T1486,Impact,Database Server,True
228,2023-11-28 03:51:24,T1133,Persistence,Database Server,False
229,2023-08-04 00:28:07,T1071,Command and Control,Workstation,True
230,2023-08-02 00:29:39,T1021,Lateral Movement,Cloud Infrastructure,True
231,2023-12-23 11:04:06,T1566,Phishing,Web Server,True
232,2023-11-08 02:48:13,T1021,Lateral Movement,Web Server,False
233,2023-08-30 09:52:15,T1059,Execution,Active Directory,False
234,2023-05-21 09:25:00,T1059,Execution,Active Directory,True
235,2023-10-10 23:32:42,T1021,Lateral Movement,Cloud Infrastructure,False
236,2023-08-31 21:59:25,T1190,Initial Access,Cloud Infrastructure,False
237,2023-05-12 07:45:46,T1566,Phishing,Cloud Infrastructure,False
238,2023-10-08 08:00:42,T1566,Phishing,Workstation,True
239,2023-03-04 09:34:35,T1486,Impact,Active Directory,False
240,2023-07-16 10:23:33,T1190,Initial Access,Web Server,True
241,2023-04-02 02:01:34,T1190,Initial Access,Workstation,True
242,2023-02-13 07:18:04,T1486,Impact,Web Server,False
243,2023-01-04 03:51:55,T1021,Lateral Movement,Cloud Infrastructure,False
244,2023-09-08 04:42:06,T1486,Impact,Active Directory,True
245,2023-10-09 23:51:28,T1566,Phishing,Database Server,False
246,2023-10-21 05:23:59,T1059,Execution,Database Server,True
247,2023-02-05 16:00:36,T1059,Execution,Cloud Infrastructure,True
248,2023-09-07 23:23:30,T1133,Persistence,Workstation,True
249,2023-03-04 22:32:00,T1021,Lateral Movement,Cloud Infrastructure,True
250,2023-10-05 09:05:22,T1071,Command and Control,Cloud Infrastructure,True
251,2023-06-21 12:46:29,T1059,Execution,Cloud Infrastructure,True
252,2023-08-02 12:57:04,T1566,Phishing,Active Directory,True
253,2023-08-08 10:24:12,T1133,Persistence,Database Server,False
254,2023-07-05 00:12:06,T1059,Execution,Workstation,True
255,2023-07-05 10:34:01,T1021,Lateral Movement,Database Server,False
256,2023-03-23 02:58:44,T1133,Persistence,Workstation,True
257,2023-06-26 12:23:36,T1059,Execution,Workstation,False
258,2023-04-13 21:50:11,T1486,Impact,Active Directory,False
259,2023-07-02 23:50:40,T1059,Execution,Web Server,True
260,2023-11-17 07:24:13,T1059,Execution,Web Server,True
261,2023-10-28 02:41:26,T1486,Impact,Active Directory,True
262,2023-10-31 01:25:26,T1190,Initial Access,Active Directory,True
263,2023-06-13 15:41:16,T1021,Lateral Movement,Cloud Infrastructure,True
264,2023-09-10 04:08:44,T1133,Persistence,Cloud Infrastructure,False
265,2023-04-09 04:46:30,T1566,Phishing,Workstation,False
266,2023-09-08 03:35:30,T1486,Impact,Active Directory,False
267,2023-07-10 16:25:10,T1566,Phishing,Cloud Infrastructure,False
268,2023-03-17 13:36:52,T1133,Persistence,Web Server,True
269,2023-08-13 23:58:01,T1133,Persistence,Web Server,True
270,2023-10-15 08:37:02,T1133,Persistence,Database Server,True
271,2023-10-25 13:12:25,T1071,Command and Control,Active Directory,False
272,2023-10-31 05:39:14,T1566,Phishing,Web Server,True
273,2023-10-30 06:27:17,T1190,Initial Access,Cloud Infrastructure,False
274,2023-09-29 12:31:54,T1133,Persistence,Database Server,False
275,2023-01-10 19:35:07,T1059,Execution,Workstation,False
276,2023-06-21 20:27:50,T1133,Persistence,Workstation,False
277,2023-10-05 00:44:46,T1566,Phishing,Database Server,True
278,2023-11-04 18:48:07,T1486,Impact,Web Server,True
279,2023-05-21 18:58:01,T1059,Execution,Workstation,False
280,2023-12-14 08:57:53,T1190,Initial Access,Active Directory,True
281,2023-06-14 08:55:41,T1021,Lateral Movement,Database Server,True
282,2023-10-22 22:23:07,T1566,Phishing,Active Directory,True
283,2023-08-19 16:56:45,T1021,Lateral Movement,Workstation,True
284,2023-08-20 09:07:00,T1059,Execution,Active Directory,True
285,2023-09-24 23:21:08,T1190,Initial Access,Cloud Infrastructure,True
286,2023-03-25 22:05:10,T1566,Phishing,Database Server,True
287,2023-02-22 05:34:13,T1071,Command and Control,Web Server,False
288,2023-08-25 09:30:43,T1486,Impact,Database Server,True
289,2023-03-09 20:40:42,T1059,Execution,Workstation,False
290,2023-04-06 04:23:44,T1059,Execution,Web Server,False
291,2023-10-08 06:33:12,T1133,Persistence,Cloud Infrastructure,True
292,2023-08-03 01:00:26,T1566,Phishing,Cloud Infrastructure,False
293,2023-12-30 17:20:45,T1566,Phishing,Workstation,False
294,2023-08-28 10:31:00,T1021,Lateral Movement,Web Server,False
295,2023-02-12 10:49:34,T1486,Impact,Workstation,False
296,2023-11-10 07:30:12,T1190,Initial Access,Workstation,False
297,2023-11-11 20:12:49,T1021,Lateral Movement,Active Directory,True
298,2023-12-19 03:44:55,T1059,Execution,Workstation,True
299,2023-11-20 11:26:54,T1021,Lateral Movement,Active Directory,True
300,2023-11-12 10:42:05,T1021,Lateral Movement,Workstation,True
301,2023-06-28 19:50:49,T1021,Lateral Movement,Active Directory,True
302,2023-11-26 17:56:36,T1059,Execution,Workstation,False
303,2023-03-06 22:24:01,T1071,Command and Control,Workstation,True
304,2023-12-24 02:50:17,T1071,Command and Control,Workstation,True
305,2023-09-20 01:39:00,T1071,Command and Control,Database Server,True
306,2023-06-02 01:28:02,T1486,Impact,Web Server,True
307,2023-03-22 10:29:16,T1071,Command and Control,Active Directory,False
308,2023-06-08 17:59:05,T1133,Persistence,Workstation,False
309,2023-01-22 21:26:36,T1190,Initial Access,Web Server,True
310,2023-11-05 06:38:07,T1566,Phishing,Cloud Infrastructure,True
311,2023-05-01 20:07:30,T1566,Phishing,Active Directory,False
312,2023-12-17 12:45:20,T1059,Execution,Cloud Infrastructure,True
313,2023-06-24 01:34:57,T1071,Command and Control,Cloud Infrastructure,True
314,2023-09-20 06:16:30,T1021,Lateral Movement,Database Server,False
315,2023-07-14 11:07:21,T1566,Phishing,Cloud Infrastructure,True
316,2023-12-24 18:37:38,T1486,Impact,Active Directory,True
317,2023-04-09 21:57:55,T1566,Phishing,Database Server,True
318,2023-12-10 08:47:18,T1566,Phishing,Active Directory,True
319,2023-06-26 20:58:16,T1486,Impact,Workstation,False
320,2023-01-09 04:42:43,T1021,Lateral Movement,Active Directory,True
321,2023-10-06 17:24:31,T1566,Phishing,Workstation,True
322,2023-12-14 21:52:24,T1059,Execution,Cloud Infrastructure,True
323,2023-10-07 23:08:28,T1021,Lateral Movement,Database Server,True
324,2023-09-18 08:57:47,T1190,Initial Access,Active Directory,True
325,2023-11-09 23:11:45,T1071,Command and Control,Cloud Infrastructure,True
326,2023-10-21 19:32:09,T1071,Command and Control,Workstation,True
327,2023-12-16 06:45:41,T1190,Initial Access,Active Directory,True
328,2023-08-29 17:07:53,T1190,Initial Access,Active Directory,True
329,2023-11-18 09:56:20,T1133,Persistence,Cloud Infrastructure,False
330,2023-08-25 20:25:27,T1133,Persistence,Database Server,True
331,2023-04-21 01:45:28,T1190,Initial Access,Workstation,True
332,2023-07-17 00:24:57,T1021,Lateral Movement,Active Directory,True
333,2023-09-30 15:41:22,T1190,Initial Access,Database Server,True
334,2023-09-20 04:36:03,T1021,Lateral Movement,Web Server,True
335,2023-10-27 18:56:49,T1486,Impact,Database Server,False
336,2023-03-17 14:10:44,T1021,Lateral Movement,Cloud Infrastructure,False
337,2023-04-12 03:35:43,T1190,Initial Access,Database Server,True
338,2023-06-22 15:48:35,T1071,Command and Control,Web Server,False
339,2023-11-11 04:52:27,T1486,Impact,Database Server,False
340,2023-08-07 22:48:30,T1566,Phishing,Active Directory,True
341,2023-04-29 11:16:47,T1071,Command and Control,Active Directory,True
342,2023-07-23 00:58:01,T1133,Persistence,Cloud Infrastructure,True
343,2023-01-11 14:55:33,T1486,Impact,Active Directory,True
344,2023-03-14 00:33:43,T1021,Lateral Movement,Database Server,True
345,2023-07-22 23:13:20,T1021,Lateral Movement,Cloud Infrastructure,False
346,2023-09-29 23:38:10,T1190,Initial Access,Workstation,False
347,2023-04-26 03:26:36,T1566,Phishing,Web Server,True
348,2023-12-02 10:18:25,T1071,Command and Control,Web Server,True
349,2023-03-30 03:51:25,T1566,Phishing,Cloud Infrastructure,False
350,2023-01-14 10:34:31,T1190,Initial Access,Web Server,True
351,2023-09-26 22:37:51,T1190,Initial Access,Cloud Infrastructure,False
352,2023-10-03 19:27:27,T1021,Lateral Movement,Web Server,True
353,2023-03-06 15:22:10,T1486,Impact,Web Server,False
354,2023-05-22 22:13:27,T1071,Command and Control,Database Server,False
355,2023-05-30 05:28:55,T1059,Execution,Active Directory,True
356,2023-05-03 17:45:38,T1071,Command and Control,Cloud Infrastructure,False
357,2023-09-16 18:54:36,T1071,Command and Control,Web Server,False
358,2023-10-12 06:13:26,T1059,Execution,Cloud Infrastructure,True
359,2023-06-29 14:27:02,T1059,Execution,Database Server,True
360,2023-02-17 14:48:36,T1021,Lateral Movement,Cloud Infrastructure,True
361,2023-03-03 02:39:06,T1021,Lateral Movement,Active Directory,False
362,2023-10-04 19:43:05,T1021,Lateral Movement,Workstation,True
363,2023-10-22 07:52:37,T1021,Lateral Movement,Web Server,True
364,2023-06-15 20:55:22,T1133,Persistence,Web Server,False
365,2023-03-23 00:16:55,T1133,Persistence,Cloud Infrastructure,False
366,2023-12-11 11:41:09,T1021,Lateral Movement,Workstation,False
367,2023-07-19 05:04:09,T1071,Command and Control,Workstation,True
368,2023-09-16 11:51:10,T1133,Persistence,Cloud Infrastructure,True
369,2023-05-13 02:25:44,T1566,Phishing,Database Server,False
370,2023-01-11 08:49:31,T1190,Initial Access,Cloud Infrastructure,True
371,2023-11-15 21:40:21,T1566,Phishing,Workstation,False
372,2023-12-29 05:46:35,T1021,Lateral Movement,Database Server,True
373,2023-04-04 17:48:53,T1190,Initial Access,Workstation,True
374,2023-07-04 15:15:42,T1190,Initial Access,Active Directory,True
375,2023-03-31 15:08:03,T1071,Command and Control,Active Directory,False
376,2023-11-21 10:13:11,T1021,Lateral Movement,Cloud Infrastructure,False
377,2023-04-24 21:21:49,T1021,Lateral Movement,Database Server,True
378,2023-11-21 19:13:38,T1486,Impact,Database Server,True
379,2023-04-08 23:00:31,T1059,Execution,Web Server,False
380,2023-08-21 06:01:24,T1071,Command and Control,Cloud Infrastructure,False
381,2023-03-30 07:45:25,T1486,Impact,Workstation,True
382,2023-12-30 18:58:29,T1190,Initial Access,Active Directory,False
383,2023-05-06 10:59:02,T1133,Persistence,Workstation,False
384,2023-12-21 07:41:05,T1190,Initial Access,Database Server,True
385,2023-06-15 22:37:17,T1021,Lateral Movement,Active Directory,False
386,2023-01-07 18:52:49,T1486,Impact,Cloud Infrastructure,True
387,2023-03-12 07:14:09,T1190,Initial Access,Workstation,False
388,2023-04-08 22:07:09,T1566,Phishing,Cloud Infrastructure,False
389,2023-04-25 19:33:58,T1071,Command and Control,Workstation,False
390,2023-01-06 19:05:31,T1071,Command and Control,Web Server,True
391,2023-08-01 12:51:11,T1566,Phishing,Active Directory,True
392,2023-04-05 16:29:48,T1059,Execution,Database Server,True
393,2023-12-06 15:07:54,T1059,Execution,Web Server,False
394,2023-08-25 03:06:05,T1133,Persistence,Database Server,False
395,2023-07-08 10:28:47,T1071,Command and Control,Web Server,True
396,2023-04-25 12:38:24,T1059,Execution,Database Server,False
397,2023-07-08 02:38:41,T1059,Execution,Web Server,True
398,2023-12-29 13:52:35,T1486,Impact,Cloud Infrastructure,False
399,2023-01-28 01:54:08,T1071,Command and Control,Cloud Infrastructure,True
400,2023-01-14 18:18:19,T1021,Lateral Movement,Workstation,False
401,2023-01-25 10:58:11,T1190,Initial Access,Cloud Infrastructure,True
402,2023-08-29 17:42:09,T1071,Command and Control,Active Directory,False
403,2023-05-01 15:43:11,T1566,Phishing,Workstation,True
404,2023-11-24 02:53:51,T1021,Lateral Movement,Workstation,False
405,2023-05-10 10:07:04,T1486,Impact,Active Directory,False
406,2023-12-01 21:59:47,T1021,Lateral Movement,Cloud Infrastructure,False
407,2023-04-22 04:40:57,T1566,Phishing,Active Directory,True
408,2023-05-16 03:59:41,T1566,Phishing,Database Server,False
409,2023-12-16 19:02:24,T1486,Impact,Workstation,True
410,2023-07-02 03:30:20,T1133,Persistence,Database Server,True
411,2023-02-04 10:30:43,T1071,Command and Control,Web Server,False
412,2023-07-25 20:52:20,T1071,Command and Control,Workstation,False
413,2023-11-08 14:20:31,T1071,Command and Control,Active Directory,False
414,2023-07-07 17:46:50,T1133,Persistence,Cloud Infrastructure,False
415,2023-02-23 05:32:07,T1071,Command and Control,Cloud Infrastructure,True
416,2023-10-01 15:08:35,T1486,Impact,Web Server,False
417,2023-10-09 00:11:14,T1133,Persistence,Database Server,True
418,2023-02-20 00:46:02,T1133,Persistence,Workstation,False
419,2023-04-25 04:59:38,T1133,Persistence,Database Server,True
420,2023-09-13 19:11:53,T1021,Lateral Movement,Cloud Infrastructure,False
421,2023-02-05 18:20:35,T1190,Initial Access,Cloud Infrastructure,True
422,2023-11-19 19:54:12,T1071,Command and Control,Web Server,False
